date,temperature,rainfall,pressure,humidity,wind,solar,price
1996-01-31,-0.9,31.0,1024.4,79,2.4,1.448373606,34319.0
1996-02-29,-0.7,13.8,1025.0,78,2.6,1.713757074,34403.0
1996-03-31,4.6,123.0,1018.8,78,2.5,2.134197408,33973.0
1996-04-30,10.0,58.0,1018.1,71,2.6,2.18215859,34359.0
1996-05-31,16.8,45.8,1012.8,81,2.0,2.128355127,35856.0
1996-06-30,20.8,296.4,1008.0,93,1.9,3.100215983,35807.0
1996-07-31,23.9,211.3,1009.6,91,2.0,2.501764465,34973.0
1996-08-31,25.2,124.0,1010.1,88,1.6,2.362137531,34733.0
1996-09-30,20.4,28.4,1014.0,85,1.5,1.991610605,35087.0
1996-10-31,14.2,66.0,1018.9,82,1.7,1.910856619,36131.0
1996-11-30,7.4,68.9,1022.5,84,2.1,1.765117683,35373.0
1996-12-31,1.9,29.3,1022.9,84,2.0,1.273189655,35293.0
1997-01-31,-1.4,16.5,1023.5,80,2.6,1.527293267,35362.0
1997-02-28,1.4,29.8,1023.5,78,2.4,1.678623188,35574.0
1997-03-31,6.7,45.8,1021.7,76,2.4,2.109894408,35973.0
1997-04-30,12.2,76.2,1016.6,79,2.3,2.454787879,36375.0
1997-05-31,16.9,189.2,1008.8,83,2.4,2.487074236,36630.0
1997-06-30,21.7,183.9,1008.5,86,1.8,2.462480974,36675.0
1997-07-31,24.5,306.6,1007.9,92,1.9,2.534184336,37003.0
1997-08-31,25.1,223.9,1009.5,86,2.0,2.340606936,37617.0
1997-09-30,19.5,63.0,1014.8,84,2.0,2.100155642,37328.0
1997-10-31,13.6,11.9,1018.5,74,2.2,1.746696959,36442.0
1997-11-30,9.0,160.7,1021.7,83,2.0,1.550933041,35551.0
1997-12-31,2.6,58.6,1025.3,82,2.1,1.264150943,35571.0
1998-01-31,-0.1,48.2,1024.7,83,2.6,1.50295203,36406.0
1998-02-28,3.5,49.3,1021.9,77,2.4,1.948355453,36770.0
1998-03-31,7.3,51.3,1020.9,76,2.6,2.048469388,36862.0
1998-04-30,14.7,152.3,1016.5,89,2.1,2.314076246,36787.0
1998-05-31,17.8,109.2,1014.4,87,2.0,2.196001568,36796.0
1998-06-30,20.0,270.2,1010.0,92,2.1,2.757322835,37039.0
1998-07-31,24.1,271.8,1007.1,92,2.4,2.78293247,38083.0
1998-08-31,24.8,450.2,1008.7,91,1.8,2.611115737,40244.0
1998-09-30,21.7,248.3,1012.9,87,1.8,2.38461183,39924.0
1998-10-31,16.3,67.6,1017.9,82,1.8,2.011270768,39186.0
1998-11-30,7.9,31.8,1021.3,78,2.1,1.528193431,39072.0
1998-12-31,3.0,7.6,1026.3,77,2.1,1.213576702,39208.0
1999-01-31,0.4,22.7,1023.5,76,2.6,1.413405949,40360.0
1999-02-28,1.7,20.1,1023.9,75,2.7,1.613803548,40360.0
1999-03-31,6.4,94.0,1018.1,78,2.4,2.350091659,40521.0
1999-04-30,12.6,95.2,1015.0,79,2.6,2.528399519,40580.0
1999-05-31,16.8,135.4,1011.6,82,2.3,2.372131682,40862.0
1999-06-30,21.4,167.4,1009.0,87,1.8,2.759362707,41608.0
1999-07-31,23.6,303.5,1007.6,91,2.2,2.885230769,42280.0
1999-08-31,24.3,376.9,1009.0,90,1.9,2.614878398,42765.0
1999-09-30,22.1,349.3,1012.9,87,1.9,2.503030303,42855.0
1999-10-31,14.0,111.5,1019.8,83,1.8,1.807714702,42649.0
1999-11-30,7.9,25.4,1022.3,81,2.0,1.42145843,41848.0
1999-12-31,1.4,11.2,1026.4,77,2.3,1.24230293,41700.0
2000-01-31,-0.1,40.9,1025.9,77,2.5,1.637066246,42070.0
2000-02-29,-0.4,5.6,1023.6,69,2.7,1.723377704,42440.0
2000-03-31,6.1,24.4,1018.8,72,2.7,2.133586565,42440.0
2000-04-30,11.4,40.0,1013.5,71,2.7,2.387435998,42497.0
2000-05-31,16.8,60.8,1010.8,82,2.2,2.546634807,42796.0
2000-06-30,21.4,161.9,1007.6,86,1.8,2.983100559,43084.0
2000-07-31,25.3,229.3,1006.0,88,2.1,2.704839419,43200.0
2000-08-31,25.2,379.4,1009.3,87,1.9,2.584558824,43262.0
2000-09-30,19.5,260.1,1012.5,85,2.2,2.244862036,43148.0
2000-10-31,14.4,35.0,1019.5,80,1.8,2.211458886,42542.0
2000-11-30,7.1,49.1,1024.4,76,2.0,1.693461951,42095.0
2000-12-31,1.9,12.7,1024.7,72,2.3,1.365584416,42005.0
2001-01-31,-1.8,55.8,1023.4,77,2.6,1.57664155,42000.0
2001-02-28,1.1,63.2,1024.2,73,2.3,1.918498943,42083.0
2001-03-31,5.5,15.4,1016.6,68,2.9,1.612319749,42246.0
2001-04-30,12.5,30.1,1016.1,73,2.4,1.802042578,42371.0
2001-05-31,18.0,35.5,1010.8,81,2.3,1.631128205,42400.0
2001-06-30,21.4,246.0,1007.5,86,2.0,1.402696629,42400.0
2001-07-31,25.3,256.3,1007.7,92,1.9,1.560328754,42400.0
2001-08-31,25.1,107.4,1009.7,90,1.8,1.564461738,42400.0
2001-09-30,20.6,91.1,1014.1,86,2.0,1.702687085,41724.0
2001-10-31,15.4,102.4,1018.4,86,1.8,1.445042679,41600.0
2001-11-30,6.9,18.1,1022.4,73,2.0,1.280947255,40419.0
2001-12-31,0.7,33.6,1027.7,76,2.3,1.380244222,40436.0
2002-01-31,1.3,62.2,1021.6,81,2.8,1.525702629,40500.0
2002-02-28,2.5,8.6,1024.6,73,2.3,1.655867971,40671.0
2002-03-31,7.8,52.7,1018.1,75,2.7,1.720034843,40796.0
2002-04-30,13.1,149.1,1015.6,82,2.7,1.998429669,40800.0
2002-05-31,16.6,111.9,1012.2,87,2.1,1.935437817,40800.0
2002-06-30,20.9,71.1,1008.1,86,2.0,1.96577924,41252.0
2002-07-31,24.1,246.0,1005.3,95,2.1,1.809943383,41400.0
2002-08-31,23.6,585.8,1008.6,96,2.0,2.100950324,41446.0
2002-09-30,19.9,87.7,1014.6,92,1.8,1.946669017,42913.0
2002-10-31,12.7,65.7,1018.3,81,2.1,1.759232026,43238.0
2002-11-30,4.8,17.3,1022.5,73,2.5,1.527975709,42200.0
2002-12-31,2.2,49.5,1025.7,80,2.2,1.423278029,42008.0
2003-01-31,-1.8,29.8,1024.4,82,2.5,1.437415541,42000.0
2003-02-28,2.3,49.2,1022.8,81,2.0,1.576525822,42000.0
2003-03-31,5.9,53.2,1021.0,81,2.2,1.868650794,42000.0
2003-04-30,12.3,194.7,1014.9,82,2.4,2.041612111,42000.0
2003-05-31,17.3,185.4,1013.4,88,2.0,2.131530298,42042.0
2003-06-30,20.7,191.8,1006.5,89,1.9,2.049388846,42275.0
2003-07-31,22.3,446.4,1008.3,97,1.9,2.206322351,42600.0
2003-08-31,23.7,338.1,1009.1,94,1.7,2.017455969,42600.0
2003-09-30,20.8,260.2,1013.5,91,1.7,1.933091048,42596.0
2003-10-31,13.4,28.1,1018.4,77,2.1,1.651949458,43269.0
2003-11-30,9.7,74.6,1022.1,83,2.0,1.620373614,42672.0
2003-12-31,2.0,17.1,1023.9,79,2.5,1.297160069,42615.0
2004-01-31,-0.9,15.8,1023.3,79,2.2,1.420645161,42609.0
2004-02-29,2.9,44.8,1019.7,74,2.8,1.717070064,43150.0
2004-03-31,6.3,35.5,1019.4,71,2.6,1.977753141,43200.0
2004-04-30,12.6,94.9,1013.0,76,2.5,2.048725212,43200.0
2004-05-31,17.1,130.6,1009.7,84,2.3,2.093198725,43067.0
2004-06-30,21.6,220.0,1010.1,83,1.8,2.125983667,43131.0
2004-07-31,25.0,296.7,1007.5,95,2.1,2.353945623,43427.0
2004-08-31,24.9,316.8,1008.2,91,1.9,2.267371253,43757.0
2004-09-30,20.7,206.5,1014.9,90,2.0,2.138812583,43653.0
2004-10-31,14.2,8.1,1019.8,78,2.0,1.773477477,42657.0
2004-11-30,9.0,56.4,1021.9,81,1.9,1.413513514,40768.0
2004-12-31,3.1,30.2,1023.7,74,2.1,1.38555715,40000.0
2005-01-31,-1.1,16.0,1022.3,78,2.7,1.447877462,40000.0
2005-02-28,-0.6,37.2,1023.1,80,2.8,1.730740394,40000.0
2005-03-31,4.6,64.3,1019.4,74,2.9,1.99250731,40000.0
2005-04-30,12.9,74.1,1014.1,78,2.8,2.195710267,40000.0
2005-05-31,16.7,78.0,1010.6,77,2.2,2.23814433,40000.0
2005-06-30,22.1,152.5,1005.8,91,2.0,2.331670823,40000.0
2005-07-31,24.7,285.3,1006.5,94,1.8,2.37184595,40173.0
2005-08-31,24.8,289.9,1008.6,94,2.0,2.576912442,40183.0
2005-09-30,21.5,196.8,1015.3,93,2.1,2.31402737,39173.0
2005-10-31,14.3,37.3,1018.9,82,1.8,1.899868074,37019.0
2005-11-30,8.3,35.1,1019.7,75,2.0,1.522033898,36000.0
2005-12-31,-2.1,20.3,1024.0,82,2.6,1.314162207,36000.0
2006-01-31,0.6,31.1,1023.8,79,2.1,1.60133547,36000.0
2006-02-28,1.1,33.5,1025.0,76,2.6,1.785341365,36000.0
2006-03-31,5.8,16.1,1016.5,72,2.8,2.056252347,35818.0
2006-04-30,11.1,107.8,1010.8,79,2.9,2.537184466,35130.0
